2020/03/04 15:24:04 [error] 16508#12668: *3 CreateFile() "C:\nginx-1.17.9/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: *.html-cms.coot.tech, request: "GET /favicon.ico HTTP/1.1", host: "app.localhost", referrer: "http://app.localhost/"
2020/03/04 16:09:39 [error] 5164#21420: *56 CreateFile() "C:\nginx-1.17.9/html/favicon.ico" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", host: "index.test.localhost", referrer: "http://index.test.localhost/"
2020/03/04 16:22:01 [error] 12560#16760: *3 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:6800:1b:e5fc:c000:93a1]:80/test/index.html", host: "las.localhost", referrer: "http://las.localhost/"
2020/03/04 16:22:01 [error] 12560#16760: *3 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:4800:1b:e5fc:c000:93a1]:80/test/index.html", host: "las.localhost", referrer: "http://las.localhost/"
2020/03/04 16:22:01 [error] 12560#16760: *3 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:ea00:1b:e5fc:c000:93a1]:80/test/index.html", host: "las.localhost", referrer: "http://las.localhost/"
2020/03/04 16:22:01 [error] 12560#16760: *3 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:fc00:1b:e5fc:c000:93a1]:80/test/index.html", host: "las.localhost", referrer: "http://las.localhost/"
2020/03/04 16:22:01 [error] 12560#16760: *3 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:a600:1b:e5fc:c000:93a1]:80/test/index.html", host: "las.localhost", referrer: "http://las.localhost/"
2020/03/04 16:22:01 [error] 12560#16760: *3 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:5a00:1b:e5fc:c000:93a1]:80/test/index.html", host: "las.localhost", referrer: "http://las.localhost/"
2020/03/04 16:22:01 [error] 12560#16760: *3 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:cc00:1b:e5fc:c000:93a1]:80/test/index.html", host: "las.localhost", referrer: "http://las.localhost/"
2020/03/04 16:24:35 [error] 18656#11600: *1 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:7a00:1b:e5fc:c000:93a1]:80/test/index.html", host: "as.localhost", referrer: "http://as.localhost/"
2020/03/04 16:24:35 [error] 18656#11600: *1 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:8200:1b:e5fc:c000:93a1]:80/test/index.html", host: "as.localhost", referrer: "http://as.localhost/"
2020/03/04 16:24:35 [error] 18656#11600: *1 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:3800:1b:e5fc:c000:93a1]:80/test/index.html", host: "as.localhost", referrer: "http://as.localhost/"
2020/03/04 16:24:35 [error] 18656#11600: *1 connect() failed (10051: A socket operation was attempted to an unreachable network) while connecting to upstream, client: 127.0.0.1, server: *.localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://[2600:9000:213a:1600:1b:e5fc:c000:93a1]:80/test/index.html", host: "as.localhost", referrer: "http://as.localhost/"
